1,마법사,The Magician,"힘, 성공, 시작, 능력있는","힘이 부족한, 무모한, 무능력한, 활동적이지 못한, 불안정한, 거짓말","마법사 카드는 최초라는 의미의 숫자 1번을 부여 받은 카드로 숫자 1번은 시작을 의미하며, 새로운 것이 생겼다는 의미이기 때문에  창의성과 열정을 가지고 있습니다. 또한 화려한 장미의 정원에서 지팡이, 컵, 칼, 동전 이라고 하는 4대 원소를 모두 가지고 있는 마법사는 4가지 원소를 다루어 이를 바탕으로 창조의 힘을 발휘, 무한한 가능성을 가지고 있습니다.","새로운것을 시작할 때, 의지를 가지고 실천하면 계획을 현실화 시킬 수 있을것입니다. 또한 뛰어난 말재주, 뛰어난 이해력으로 일을 능숙하게 실행할 수 있을것입니다.",집중력이 떨어지거나 실행에 옮기지 않을 경우가 많습니다. 또한 상대에 따라 의견이 쉽게 바뀔 수 있고 심한 경우 사기를 당할 수 있어 주의하는것이 좋습니다.,1,0
2,여사제,The High Priestess,"영적인, 비밀스러운, 지성적인","물질적인, 정신적인 불안정, 표면적인, 그릇된",이 카드의 주인공은 여대사제입니다. 가장 큰 뜻은 정신적인 힘(inner wisdom)입니다. 입고 있는 옷을 보면 귀한 사람이며 TORA라고 써 있는 두루마리 즉 성경을 들고 있어 이 율법으로부터 나오는 권위가 연상된다. 이것을 보면 지적인 실력자이며 자신이 맡은 일을 완벽하게 처리하는 것을 알 수 있습니다. 그리고 단호한 위엄과 큰 포용력을 가지고 있으며 의무감과 책임감이 강합니다. 또한 이 카드에는 숨겨진 영향력(hidden influence)라는 의미가 있습니다. 그러한 영향력 때문에 불확실한 미래를 나타내기도 하지만 정신적인 능력을 갖춘 사람이니 어떤 상황에서도 중심을 잃지 않고 냉정한 판단을 내릴 수 있을것입니다. 그녀의 머리에 있는 달은 여성성을 상징합니다.,꿈을 꾸었다면 예지몽일 경우가 있습니다. 현명함과 판단력으로 적절한 상황판단을 얻을 수 있으며 감성을 쉽게 드러내지 않는것이 좋을 것 입니다.,인내심이 부족해 공격적으로 행동할 수 있으며 잘못된 판단으로 편견을 가질 수 있으니 주의하는것이 좋습니다.,1,0
3,여왕,The Empress,"풍요, 성취, 여성성, 아름다움","빈곤, 실패, 감정의 부정적인 면, 욕구불만","풍성한 보리밭, 안락한 소파 위에 비스듬히 앉아 있는 임신한, 혹은 풍만한 여제는 풍족함, 풍요로움을 상징한다. 만물의 생명의 근원인 여제는 남성의 억제된 여성적 특징을 내포하기도 합니다. 그녀는 물질적인 풍요로움과 욕구에 대한 만족을 말하기도, 과도한 풍요로 인한 나태와 권태로움을 상징하기도 합니다. 또한 여성적인 지혜와 모성애를 암시하고 있고 사람에 대한 포용력과 관용이 있습니다.",,"가난해 질 수 있으며, 빚지거나 배신당할 수 있으니 주의해야합니다. 질투심이나 우울증, 불안이 올 수 있고 폭음, 폭식, 절제없는 낭비를 할 수 있으니 주의해야 합니다.",1,0
4,황제,The Emperor,"권력, 리더, 성공, 강인함, 후원자","독단적, 무능력, 무력한, 폭력적인","단단한 갑옷을 입고 붉은 망토를 두르고 있는 남성은 지배를 상징하는 황제카드로 일을 진행하는 강한 추진력이 있고, 항상 준비되어 있으며, 타인을 통솔할 수 있는 카리스마를 가지고 있습니다. 힘들게 올라온 자리인 만큼 자신이 무엇을 해야 하는지 잘 알고 있어 어떤 일이든지 미적거리지 않는 단호함을 가지고 있습니다. 목표 달성을 위해 정열을 불태우고 고군분투함에 자연스럽게 권위와 명예가 따라올 것 입니다.","부와 힘, 권력을 얻어 신뢰할 수 있는 리더가 되어 최고의 자리에 올라가 존경받게 됩니다. 탄탄한 미래가 있고 존경받는 사람으로 실천력과 행동력이 뛰어날 것입니다. 또한 사람과의 관계가 안정될것이며 의지할수 있는 사람이 나타날 것 입니다.",자기중심적이며 고집이 세고 과욕을 부릴 수 있습니다. 자신의 감정을 조절하는것이 중요하며 자신감을 상실할 수 있으니 주의하세요. 추가로 경영 부진이나 상대에게서 권위적이고 강압적이거나 난폭한 일을 당할 수 있으니 주의하시는 것이 좋습니다.,1,0
5,교황,The Hierophant,"가르침, 자비, 질서, 전통적인, 관계","신용문제, 관계가 끝남, 답답한, 물질적인","교황은 마법사와 마찬가지로 인간과 신의 세계를 연결해주는 매개체역할로, 한 손엔 황금색 지팡이를 다른 한 손은 3개의 손가락을 펴고 있어 신뢰감이 강하고 부드러운 카리스마가 있습니다. 그의 발 밑에 2개의 황금열쇠가 겹쳐 있고, 2명의 사람이 바라보고 있다는 것은 추종자가 따라다니며 상대에게 좀 더 체계적인 방법을 제시해 신뢰를 받는 안내자이자 정신적인 지도자로서의 존재라는 것입니다. 교황의 큰 뜻은 가르침, 양식, 원조로 전통을 잇는다는 뜻도 있고 논리, 도덕관념 등의 뜻도 내포 하고 있습니다. 교황은 미완의 상태를 완성하는 힘을 의미해 안정적이며 되도록 공평하게 일을 처리합니다. 그러나 반대로 자신의 내면을 타인에게 드러내지 않아 자신을 속박하고 고립시키는 결과를 초래하기도 합니다.","교육적인 면에서 깊은 학식을 가진 믿음직한 조언자가 나타날 것 입니다. 친절함, 배려, 도덕 등을 지키는것이 좋고, 새로운 관계가 생기거나 계약이 성공적으로 이루어 질 것입니다.",신용 평판이 낮아질 수 있으며 주위에서 반대나 배신을 당할 수 있으니 조심하세요. 지나치게 물질에 얽매이지 말고 자신의 의견을 강요하는것은 좋지 못합니다.,1,0
6,연인,The Lovers,"사랑, 선택, 즐거움","방해, 대화의 단절, 변심, 선택의 어려움","한 쌍의 연인과 천사가 그려져 있는 이 카드 속 두 사람은 운명적으로 만나 솔직한 연인이고, 아름답고 평화로운 관계입니다. 머리 위 천사와 큰 태양은 귀인이라고 하는 누군가에게 보호받고 있으며, 축복을 받고 있음을 알 수 있습니다. 하지만 복숭아 나무와 뱀의 의미가 합쳐져 유혹과 불안이 따라다닐 수 있으므로 남성과 여성, 육체적인 것과 정신적인 것 사이의 복잡 미묘한 갈등이 있습니다. 서로에 대한 확신과 사랑을 완성하기 위해서는 상대방에 대한 믿음을 요구되는 카드로,  인내와 끈기가 필요합니다.",운명적인 만남을 기대할 수 있고 서로 사랑에 빠질 수 있습니다. 선택에 기로에 섰을 때 유혹을 이겨내면 올바른 선택을 할 수 있습니다.,이별이나 실연을 할 수 있고 라이벌의 방해로 삼각관계가 있을 수 있습니다. 거짓말에 속거나 배신을 당할 수 있으니 주의하세요.,1,0
7,전차,The Chariot,"승리, 적극적인 행동, 이동, 자신감","패배, 침해, 불균형, 성급",전차카드는 바람을 가르고 달리는 젊은 왕자의 용맹스런 모습을 상징합니다. 갑옷을 잘 차려 입은 남자는 스핑크스가 모는 전차 위에 당당하게 서 있으며 사회적으로 어느 정도 위치에 있는 부유하고 풍요로우며 위풍당당한 남자입니다. 추진력과 리더십이 있어 조직운영을 잘합니다.,"목표를 달성할 수 있는 좋은 시기입니다. 라이벌을 이기거나 소송에 승리할 수 있습니다. 자신감을 가지고 적극적인 행동을 가지는것이 좋으며 여행을 떠나거나 전근, 출장, 이사 등의 이동이 있을 수 있습니다.",시험에 떨어지거나 어떤 일에 대해 실패하거나 거절당할 수 있습니다. 성급하게 덤벙거리지 않고 차분히 행동하는것이 좋습니다.,1,0
8,힘,Strength,"자신감, 인내, 극복, 통제력","분노, 폭력적, 나약함, 부족","하얀 옷에 장미화관을 두른 여인이 사나운 사자를 마치 강아지를 어루만지듯이 다루고 있습니다. 즉, 사자를 다루는 그녀는 용기가 있다는 것으로 부드럽고 순종적이지만 내면이 아주 강한 사람이라는 걸 의미합니다. 머리 위 뫼비우스의 띠의 의미 또한 위의 사람이나 강한 사람을 무력인 아닌 지혜와 부드러움으로 다를 수 있음을 뜻합니다.",자신감과 인내를 가지면 압박을 이겨낼 수 있습니다. 자신이나 상대방 또는 상황이나 본능을 조절하는것이 중요합니다.,분노가 폭발해서 싸움이 일어날 수 있습니다. 자신이 무기력해지거나 의지박약으로 고생할 수 있으니 조심하세요.,1,0
9,은둔자,The Hermit,"고독, 탐구, 깨달음, 신중","물질적, 미숙, 폐쇄적","흰 설산 위에 회색의 옷을 머리까지 뒤집어 쓴 하얀 수염의 할아버지가 한 손에는 등불을, 다른 한 손에는 기다란 막대기를 들고 서 있습니다. 수염은 인생의 깊이, 많은 경험을, 지팡이는 지식을 말하는데, 이 카드의 상징입니다. 깨달음을 얻기 위해선 자신의 경험과 지식을 바탕으로 스스로 대답을 찾아내야 한다는 점 그러기 위해선 고독을 참고 홀로 감춰진 진실을 밝혀낼 수 있어야 한다. 은둔자는 고독을 통해 새로운 형태의 관계성을 찾게 되는데 자신만의 세계를 찾거나 기존 관계를 새롭게 바라보는 계기가 됩니다.",고독으로 자신을 알아가는데 좋은 시기 입니다. 여러 공부와 연구를 통해 더 크고 깊은 해답을 찾을 수 있을 것입니다. 자신이 조언자나 빛을 찾는 사람들에게 올바른 안내를 해 주는 사람이 되어있을 수 있습니다.,"돈이나 권력 등 너무 물질적인것에 신경쓰다 중요한 것을 놓쳐버릴 수 있습니다. 본인의 어리석음이나 경솔한 결정, 행동으로 인해 가야할 길을 잃을 수 있으니 조심하십시오.",1,0
10,운명의 수레바퀴,Wheel Of Fortune,"운명, 전환점, 행운, 향상","문제, 불운, 어긋남","운명의 수레바퀴는 회전하는 운명과 동시에 금전을 상징하는가 하면 판단을 좋아하는 바퀴 위의 스핑크스는 아직 기회를 얻지 못했으며, 카드에 그려진 네가지 상징은 타로 그 자체를 말하고 있습니다. 운명의 변화기에 대처하기 위해서는 어떻게 해야 하는가를 묻고 있는 카드입니다. 만물은 시간의 흐름을 따라 변화한다. 행복 뒤에는 불행이 있고, 살아있는 모든 것들은 언제가 죽음을 맞이합니다. 영원한 것은 이 세상에 없는 법, 찬스와 전환점을 의미하는 이 카드는 모든 사물의 변화와 순환을 뜻하며 현재 상태에서 어떤 큰 운기가 작용하고 있음을 나타냅니다.","운명적인 만남이나 일을 만날 수 있습니다. 이것은 알아서 다가오는 기회로 전환점이 될 수 있으며 좋은 기회가 될 것입니다. 진전, 승진을 기대할 수 있습니다.",일이 틀어지거나 악화되는 등 문제에 대해 앞이 막혀 진행이 어려울 수 있습니다. 상황이 악화되거나 사고가 날 수 있으니 조심하는것이 좋습니다.,1,0
11,정의,Justice,"균형, 정직","불공정, 부정행위","한 손에는 이중성을 나타내는 양날이 있는 검이 있으며, 다른 한 손에는 인생에서 때로는 상충되는 요소들 사이에서 균형과 조화를 찾기 위하여 사용되는 저울이 있습니다. 또한 왕관을 쓰고 있는 그는 지혜와 뛰어난 머리를 가지고 있고 상황판단 능력도 좋습니다. 질서, 예의 체면을 중시하는 그는 재력과 명예를 가지고 있으며 이성적이고 건전한 사고를 가지고 있습니다. 공정함, 균형, 정의를 상징하는 이 카드는 좌우, 선악, 두 사람의 애정 등 두 사물의 무게가 완벽한 평행을 이루고 있음을 추구하며 어떤 상황에서도 공정한 눈으로 바라볼 것이 요구됩니다. 이 카드는 이해되어야 할 사항은, 반드시 어떠한 선택을 해야 할 상황은 아니라는 것입니다. 오히려 인생에 있어서의 '혼란을 대체할 평화'를 가져다 줄 더 많은 중용(中庸)과 평형을 결정하기 위하여, 불균형과 과도한 영역을 돌아다 보아야 한다는 것입니다.","마음의 평정을 얻어 올바른 판단을 할 수 있을것입니다. 법률이나 재판에 관련된 일이 있으면 승소하거나 좋은 일이 있을것이며, 도덕적이고 책임감있고 정직하게 행동하는것이 좋습니다.","실패하거나 잘못된 판단을 하기 쉬워질 것입니다. 불공정하거나 부정행위를 할 수 있으며, 법적으로 좋지 않은 일이 일어날 수 있으니 주의하는것이 좋습니다.",1,0
