1,마법사,The Magician,창조,창조적인 연애철학을 가진 당신은 감각이 일치하는 상대와 사랑을 시작합니다. 서로의 개성을 살릴수 있으며 그 사람은 인기있는 사람입니다.,새로운 계획에 착수하시게 되면 크게 발전합니다. 참신한 기획과 아이디어로 성공하며 디자인이나 광고관련 일도 잘할수 있을 것입니다.,"새로 개발된 건강기구를 적극적으로 사용해 독자적인 건강법으로 운동을 시작하고, 미용기구를 사용하게 되면 효과가 즉시 나타납니다.",재능이 많은 사람으로 취미가 결실을 맺고 서로의 개성을 살릴수 있습니다. 여행을 떠나도 좋으며 게임과 도박에서 뜻밖의 행운이 따를 것입니다.,순조로운 출발과 함께 능률적인 계획이 성공의 열쇠입니다. 응용력이 강하고 독창적이 강하며 남의 비위를 잘 맞추는 영리한 사교술이 있습니다.,만남의 기회를 만들기 어려워 사랑에 진전이 없습니다. 불쾌한 남자이며 유혹을 조심해야 하며 사랑을 키우려는 노력이 필요합니다.,"지나치게 소극적이고 상업적인 감각이 없으며 기술과 아이디어가 부족하여 실패하기 쉽습니다. 서류처리와 사기, 모략을 주의하십시요.",신진대사가 원활하지 않고 몸상태가 나쁘므로 신약이나 새로운 치료법을 맹신하지 마세요.,순조롭지 못한 여행이므로 무리한 스케줄은 피하는 것이 좋습니다. 재능이 없고 놀고 나서 후회하는 경향이 있습니다.,"결단력과 창조력, 기술부족으로 실패하며 태도가 우유뷰단하고 잔꾀는 통하지 않습니다."
2,여사제,The High Priestess,지혜,서로를 깊이 이해할수 있는 상대와 지적이며 이성적인 사랑을 하고 내면에 열정이 잠재되어 있습니다. 하지만 정신적인 결실이 많은 연애가 될수도 있습니다.,"열중할 수 있는 일이며 내용에 충실하고 선견지명이 있습니다.연구심이 왕성하여 학문연구, 정신 분야의 일에 최적입니다. ",외모와 어울리지 않는 강인한 육체로 지성미가 있으며 투명한 피부가 매력입니다. 체질에 맞는 현명한 건강법으로 몸과 마음의 안정이 필요합니다. ,마음을 풍요롭게 하는 여행으로 독서를 통한 내면 세계로의 여행이 좋으며 사원이나 사적 등의 답사 여행이 길하기도 합니다. 미술감상이 적합하고 개인전을 개최하게 됩니다.,양식 있는 견해와 깊은 통찰력 및 계시력으로 공부와 연구에 운이 있습니다. 정신적인 요소가 강하며 감수성은 강하나 태도는 차분합니다.,짝사랑으로 끝나 이루어질 수 없는 사랑이 되며 극심한 결벽증이 있습니다. 사랑에 냉담하고 독선적이며 이해가 부족하여 만흔이거나 독신주의가 됩니다.,"만족스럽지 못한 일이나 정신적인 갈등, 연구부족으로 인해 냉대를 받으므로 실수를 조심하는 것이 좋습니다. 또한 질투심에서 비롯된 중상모략에 주의하십시오.",히스테리는 몸에 해로우므로 정신적인 스트레스를 주의하는 것이 좋습니다. 피부가 거칠어지고 불감증 및 빈혈과 냉증으로 신체의 기능이 저하됩니다.,여자 혼자 떠나는 여행은 위험하며 여자들끼리 가는 여행은 도중에 말썽이 생길 우려가 있습니다.  현재 당신의 취미생활은 시간 낭비에 불과한 취미입니다.,이해력과 포용력이 부족하고 사려가 깊지 못하며 침착성이 없어 심술 궂습니다. 따분하며 내용이 부실하고 자폐증을 주의하는 것이 좋습니다.
3,여왕,The Empress,풍성한 결실,여성 상위가 원만하고 넓은 포용력이 매력입니다. 정열적이고 첫눈에 반하는 타입으로 연애에 결실이 있어 사랑 받는 실감이 납니다. ,여성을 대상으로 한 일이 좋으며 예술과 예능 방면으로 취미를 갖는게 좋습니다. 눈에 띄는 존재로 투기나 재산증식을 하면 번영할수 있는 절호의 시기입니다.,"영앙상태,체력, 기력이 모두 왕성하여 좋아 보입니다. 섹시한 매력이 증가하고 성감이 높아져 아름다운 여성이 될 수 있는 시기입니다.",보석세공 등의 취미에 센스가 빛나며 호화롭고 우아한 여행으로 다양한 파티에서 주목을 받게 됩니다.,비옥하여 수확이 많고 물질적인 번영도 있습니다. 개방적이고 자유로운 성격을 지니고 있으며 풍부한 지적 재능과 우아함을 소유하고 있습니다.,변덕스러운 정사와 질투심으로  성숙하지 못한 사랑을 하게 됩니다. 여성스러운 면이 없고 진실한 애정이 부족하며 매달리면 미움을 받게 될수 있습니다.,직장에서 자주 고집을 부리고 지각하거나 게으름을 피웁니다. 놀이 삼아 일하는 것은 금물이고 매상이 떨어지니 과잉투자와 낭비는 피하는 것이 좋습니다.,지나친 성관계와 미식 및 과식이 문제가 되고 나태한 마음이 몸에도 영향을 미칩니다.  비만 및 주름이 생기고 살이 쳐지며 두꺼운 화장보다 피부관리에 유의하시는 것이 좋습니다.,"계획에 차질이 생기며 과소비, 과식, 지나친 당분 섭취를 주의하는 것이 좋습니다.",쓸데없는 허영과 허세는 버리고 주제넘게 나서지 않는 것이 좋습니다. 과보호와 게으름을 피우고 계획성도 부족합니다..
4,황제,The Emperor,지베,나이 차이가 많은 결혼이나 좋은 조건의 혼담입니다. 독선적이고 듬직하여 의지할 수 있는 남성이어서 애정공세로 사랑을 획득하게 됩니다.,"강인한 의지, 실력, 통솔력, 관리능력, 현실적인 추진력으로 성공을 합니다. 재정적으로 안정하며 정치나 실업관계가 길합니다.",충실한 건강관리로 건강한 육체를 소유하여 체력에 자신이 있습니다. 굳은 신념을 가지고 자신의 건강과 미용에 힘쓰는것이 좋습니다.,남성의 보호를 받는 여행을 떠나며 단체 여행이나 모임에서 리더가 됩니다. 실행의원으로서 처리능력을 훌륭히 발휘합니다.,"강한 책임감과 지도력, 현실적인 비판력과 실행력을 갖고 더 높은 목표를 향해 착실히 매진하는 것이 좋습니다. 남성적으로 사고하며 조직력이 향상됩니다.",경제적인 기반이 없는 기대에 못 미치는 남성으로 일방적인 애정의 강요와 함께 괴로운 사랑의 결말이 됩니다.,관리능력 및 의욕 부족으로 일에 실속이 없어 무능한 부하가 될수 있습니다.  업무가 너무 많고 지나칠 정도로 보수적인 방침입니다.,"자신의 체력을 과신해 과로 기미가 보이며 병원을 기피하면 증상이 악화됩니다.암, 고혈압, 성인병, 콜레스테롤에 유의하시길 바랍니다.",취미생활과 승부운이 없으며 모임이나 여행의 리더는 맡지 않는 편이 무난합니다. 예산초과로 인해 현실적으로 불가능한 여행이 됩니다.,지배력과 실질적인 능력이 없고 미숙함으로 인해 의지가 되지 못합니다. 권위를 앞세워 횡포의 우려가 있으며 방만함이 반감을 삽니다.
5,교황,The Hierophant,원조,연상의 남성이며 온화하고 존경할 수 있는 사람으로서 좋은 인연입니다. 깊고 관대한 애정으로 편지나 선물공세에 행운이 있으며 결혼 중매자가 나타나게 됩니다.,"교사나 종교, 의학 관계가 좋으며 도움을 줄 수 있는 사람과 만나는 것이 좋습니다. 이해심 있는 상사로서 상사가 믿고 일을 맡김으로 안심할 수 있는 회사이기에 회사에 공헌합니다.",정신적인 충족감을 얻으며 피부가 더욱 빛납니다. 좋은 의사를 만나게 되고 경험자나 의사의 조언에 따르면 좋습니다.,절이나 사찰로 떠나는 여행이 길하며 존경할 만한 연장자와의 만남이 길을 열어 줍니다. 영화와 연극. 독서 등의 교양을 높이는 것도 좋습니다.,"따뜻한 배려의 마음, 깊은 신뢰감으로 좋은 조언자가 되고 윗사람의 후원을 하게 됩니다. 종교에 관한 일이 길하며 도움의 손길이 뒤따르게 됩니다.",부모의 동의와 원조가 없어 자포자기나 초조함으로 인해 결혼을 하게 됩니다. 인연이 없고 사려가 부족함으로 집요한 중년남성을 주의하시는 것이 좋습니다.,일에 대한 인식이 부족하고 잔소리 많은 상사로 인해 사적인 감정을 개입하여 실패합니다. 이득없는 의리를 내세워 신용을 잃고 고립되어 구원받을 길이 없습니다.,"정신적인 피로에 시달리게 되며, 교제는 적당히, 과음을 주의하시는 것이 좋습니다. 어설픈 판단은 금물이오니 신뢰할 수 있는 의사의 지시를 따르시기 바랍니다,",여행은 가급적 삼가하시고 무엇보다 충분한 휴식과 마음의 여유가 필요합니다. 그룹에서 따돌림을 당하는 경향이 있을수 있습니다.,도움의 손길이 없어 고난을 겪게 되고 의지하려는 마음이 최대의 적이 됩니다. 호의를 강요당하고 과잉 친절로 소견이 좁아 질수 있습니다.
6,연인,The Lovers,결합,로맨틱한 사랑을 하게될 기회가 찾아오며 사랑을 주고 받는 기쁨이 넘쳐 납니다. 사랑의 예감을 느낄 수 있으며 열렬한 연애 결혼을 하게 됩니다.,감각을 살린 일이 길하며 장래성이 있고 좋아하는 일입니다. 협력자나 파트너를 만나게 되고 공동사업이나 합병도 가능하게 됩니다.,즐기면서 운동을 하고 스포츠 클럽에 적극적으로 참가하는 것이 좋습니다. 호조를 보이며 윤기 흐르는 긴 머리가 매력 포인트입니다.,달콤한 허니문의 커플여행은 행운을 가져오며 계획없이 떠난 여행에 의외의 발견과 만남이 있을 수 있습니다. 동아리나 모임에 가입하면 좋고 댄스 실력이 향상됩니다.,감성을 중요하게 여기며 다정다감하고 행복한 결합을 이루게 됩니다. 의기투합하여 원만한 협조 관계를 갖고 진로를 정할 좋은 기회입니다.,진심인지 거짓인지 알 수가 없어 사랑이 식어 갑니다. 외도를 하고 이별을 하여 순간적인 사랑을 하게 됩니다.,일이 재미가 없고 쉽게 싫증을 느껴 성적이 부진합니다.오래 가지 못해 해약을 당하고 퇴직함과 동시에 공동사업은 피하는 것이 좋습니다.,거부 반응을 일으켜 원인 규명이 필요하고 젊음만 믿고는 낭패보기가 쉽습니다.탄력과 젊음을 잃으므로 머리결 손질이 필요합니다.,여행지에서의 싸움은 결정적인 이별의 계기가 되고 사랑의 도피행은 후회만 남깁니다.취미생활은 싫증을 잘 내고 관심분야가 많아 제대로 해내지 못합니다.,비협력적인 태도로 일치하지 않고 불화하여 공동작전은 불리합니다. 이별을 하고 치기로 인한 과실을 하며 선택을 망설이고 있습니다.
7,전차,The Chariot,승리,사랑의 승리자로 라이벌을 이기고 적극적인 애정 공세를 해야 성공합니다 행동적인 사랑이며 장래성이 있는 남자를 만나게 됩니다.,빠른속도로 최고의 업적을 거둬 독립을 하게 되고 행동적인 일에 적합합니다. 활발히 진행되어 판로개척에 좋으며 선행투자도 길합니다.,초인적인 힘을 발휘하고 반사신경이 좋습니다. 아침 조깅등 활동적인 운동이 좋으며 스피디한 운동으로 땀을 흘리는 것이 효과가 뛰어납니다.,여행은 국내와 국외 모두 아주 좋고 드라이브나 버스 여행도 행운을 가져옵니다. 속도감 있는 오락과 스포츠가 최적이며 승마를 즐겨보는 것도 좋습니다.,적극적으로 리드하여 신속한 행동과 작전으로 전진함으로써 혹독한 경쟁에서 승리합니다. 야심적이며 진정한 자립심이 필요합니다.,이성과 이별수가 있고 짝사랑으로 끝나기가 쉽습니다. 연적에게 패배하고 무모한 사랑에 좌절하며 마음이 약해 진척이 없지만 사랑의 도피행각은 절대 금물입니다.,힘겨운 라이벌의 진출로 좌절이 뒤따를수 있습니다.자금 조달이 어렵고  의욕이 부진하며 업무능률이 떨어지나 성급함은 패배의 원인입니다.,"운동부족과 함께 방탕한 생활이 건강에 해를 끼치므로 자중하는 것이 좋습니다. 상처나 사고에 주의하고 신체 각 부분에 부상이 속출하니, 총 점검을 하시기 바랍니다.",여행은 좋지 않고 중지될 가능성도 있으며 교통사고의 위험이 있어 실현되지 않는 여행이 될 가망성이 높습니다. 오락이나 게임에 패배하여 화를 낼수 있으니 자중하시기 바랍니다.,"전의를 상실하며 패배할 운이고 정지, 답보상태에 머무룰수 있습니다. 제동이 걸리지 않음으로 인해 혼자 날뛰다 주위의 거센 비난을 받게 됩니다."
8,힘,Strength,의지,곤란과 반대를 극복하고 손에 쥔 진실된 사랑이며 굳게 맺어진 두 사람입니다. 인내하는 사랑에 반드시 행운이 뒤따르겠지만 연애에 깊이 빠질수도 있습니다.,스포츠와 관계된 일로 활력이 넘치는 일이 좋으며 열의와 근성으로 전력투구 한다면 결과를 두려워하지 않고 밀고 나가 성과를 거둡니다.,기초체력 키우기에 적합한 기회이며 저력과 스태미나가 있습니다. 하드 트레이닝도 효과를 거두며 고통스런 감량에 성공하게 됩니다.,낯선 곳으로의 여행은 모험이 따르나 통쾌한 여행이 되고 경기나 스포츠 클럽에 참가하여 활동적인 레저를 즐기시는 것이 좋습니다.,"불가능을 가능케 하는 놀라운 의지력과 확고한 신념, 끊임없는 노력은 난관을 극복할 수 있는 힘을 줍니다. 하지만 위험을 각오하고 결행하는 용기와 투지가 필요하기도 합니다. ",약한 마음 때문에 망설이고 성적 유혹에 넘어가는 지속되지 못할 사랑입니다. 위험한 내기와 자만 및 허세로 파탄을 초래합니다. ,현재의 일에 한계를 느껴 자신감을 상실하고 미리부터 포기합니다. 실현 불가능하기에 강행하면 무리가 생기므로 인내심이 필요합니다. ,체력이 저하되어 스태미너가 부족하게 됩니다. 무리한 감량과 트레이닝 및 폭음 폭식으로 피부와 건강 상태에 악향을 미칩니다.,체력의 한계를 무시한 여행이나 스포츠이고 무리한 스케쥴을 강행하면 실패할 수 있습니다. 개인보다는 그룹의 화합을 중요하게 생각하는 것이 좋습니다.,의지력이 없고 실력이 부족하며 비틀거려 본능을 이기지 못해 힘을 남용합니다. 허풍쟁이를 조심하고 하면 된다는 자신감을 갖는 것이 중요합니다.
9,예언가,The Hermit,탐구,서로의 입장과 가치관을 존중하고 성숙된 사랑으로서 불멸의 사랑을 하지만 정신적인 사랑을 갈구하는 사람으로 상사병이 될 가능성이 높습니다.,비중있는 업무로 지적인 일이며 냉정하고 침착한 작전 및 부단한 노력으로 성과를 거둡니다. 무욕의 승리이며 자,건강에 대한 깊은 배려로 최고의 컨디션을 유지하도록 하고 각종 건강법에 깊은 관심을 보임으로써 내면적인 아름다움을 가꾸세요.,혼자만의 조용한 여행을 떠나 고독을 즐기는 것이 필요합니다. 철학이나 종교 서적에서 깨달음을 얻고 각종 세미나에 참가하는 것도도움이 됩니다.,분수를 아는 현명함을 지녔으며 진실을 간파하는 지혜와 탁견이 지녔습니다. 고귀한 정신을 추구하지만 아웃사이더가 될 수 있습니다.,사랑을 의심하고 푸념이 앞서며 경박한 사랑입니다.알아주지 않는 쓸쓸함을 느끼므로 객관적인 애정분석이 필요합니다.,집중력 부족으로 실수를 연발하고 융통성 부족으로 흥정을 못합니다. 서로 경계하여 거래가 성립되지 않게 되고 기밀 누설에 주의 하여야 합니다.,지병이 있으니 원인을 철저히 밝히고 느긋하게 한방 치료를 하는 것이 필요합니다. 근육과 각 부위가 굳어 있으니 유연성 체조나 요가로 고치는 것이 좋습니다.,장거리 여행은 삼가는 것이 현명합니다. 지금은 자기 성찰의 시기이므로 잊고 있던 본래의 자신을 되찾는 것이 중요합니다.,까다롭고 완고한 사람으로 고독하며 동기가 불순합니다. 통속적이고 잘못을 잘 들추어 내며 계산적인 관계로 단독 행동은 금물입니다.
10,운명의 수레바퀴,Wheel Of Fortune,윤희,첫눈에 반할 대상을 만날 운으로 운명적인 만남이니 과감한 고백이나 프로포즈를 시도해 보는 것이 좋습니다. 행복한 결혼으로 부귀영화를 누릴 것입니다.,직장 이동 수가 있고 승진 혹은 유리한 인사이동으로 변화가 많은 일이 좋으니 좋은 기회를 놓치지 말아야 합니다. 임기응변으로 잘 대처하고 전력의 전화도 좋습니다.,좋은 방향으로 신체의 바이오 리듬이 변화하고 건강운이 상승하여 체질 개선에 성공합니다. 새로운 미용법을 도입하는 것이 좋습니다.,운명적인 사건이 일어날 것 같은 행운의 여행입니다. 변화가 많은 레저 생활이 좋습니다.,예상치 않은 행운이 굴러들어오니 기회를 놓치지 말아야 하며 일대 변화기가 될수 있습니다. 속단 속결도 가능하고 능률이 오를수 있습니다.,불안정한 연애운과 엇갈림으로 실연하게 됩니다. 포기할 조짐이 보이니 너무 밀어붙이지 말고 순간적인 사랑임을 명심하는 것이 좋습니다.,예산외 지출이 많아 가계가 궁핍하므로 신규사업이나 전직은 시기적으로 너무 빠르기에 피해야 하는 시기입니다. 불리한 입장에 처해 있고 침체기입니다.,"심신 상태가 급변하고 불안정기입니다. 순환기 계통에 특히 주의하여야 하므로 망설이지 말고 하루 빨리 치료를, 낙관은 금물입니다.",엇갈림이 많고 계획이 무산될수 있으니 여행은 연기하는 것을 권장합니다. 도박은 승산이 없고 충동구매로 하는 쇼핑은 자제하는 것이 좋습니다.,운이 없고 시기를 놓치게 되니 허둥지둥 하지말고 때를 기다리는 것이 좋습니다. 착각이나 오해가 많아 상황이 악화되니 미리 넘겨 짚는 것을 주의하여야 합니다
